pid,responses,rt,time_elapsed
19,"{""Q0"":""34"",""Q1"":""male""}",24754,1526061
20,"{""Q0"":""I clicked all of the different nodes first instead of a few.""}",9985,351361
20,"{""Q0"":""24"",""Q1"":""Female""}",11298,624883
21,"{""Q0"":""I changed to clicking the bubbles furthest away until I got to the maximum amount.""}",43491,431560
21,"{""Q0"":""36"",""Q1"":""Female""}",15579,703967
22,"{""Q0"":""""}",4774,633150
22,"{""Q0"":""18"",""Q1"":""Male""}",5665,850300
23,"{""Q0"":""I learned that by clicking the first two of any web you can start making estimates about whether that web path is worth continuing to click for. Before I was clicking all the possibilities but by being careful I can save a little bit of money.""}",91101,416231
23,"{""Q0"":""23"",""Q1"":""Female""}",12643,757423
24,"{""Q0"":""I learned that you should click until you see a node worth $48 or you max the node options out.""}",67462,465894
24,"{""Q0"":""29"",""Q1"":""Male""}",10199,741288
25,"{""Q0"":""I am using the NODE INSPECTOR much more""}",14337,197566
25,"{""Q0"":""52"",""Q1"":""Female""}",8737,452463
26,"{""Q0"":""Try to find the large amount at the tips.""}",16999,280155
26,"{""Q0"":""43"",""Q1"":""female""}",5703,512890
27,"{""Q0"":""I learned to focus on the outer areas and then only click the nodes of the greatest positive value. I also learned I have to click on all nodes upfront.  The values get larger with each move outward.""}",35842,362898
27,"{""Q0"":""34"",""Q1"":""female""}",9911,625697
29,"{""Q0"":""I'll click on all the end nodes until I find the one worth 48, and then go straight to it.""}",28928,495998
29,"{""Q0"":""33"",""Q1"":""female""}",17200,921725
30,"{""Q0"":""I lose no matter where I go.""}",61193,442459
30,"{""Q0"":""30"",""Q1"":""female""}",14558,784655
31,"{""Q0"":""I have learned where to click and when to not click and simply approach my target.""}",22326,362165
31,"{""Q0"":""18"",""Q1"":""Male""}",18946,630212
32,"{""Q0"":""i'm clicking on a green dollar space then going in that direction.""}",70827,514984
32,"{""Q0"":""55"",""Q1"":""male""}",23942,865440
33,"{""Q0"":""I was just clicking on one node then i realized i could click on more than just one.""}",20256,307644
33,"{""Q0"":""31"",""Q1"":""male""}",7220,529946
34,"{""Q0"":""Clicking nodes until I find a good prize.""}",23425,392710
34,"{""Q0"":""32"",""Q1"":""Male""}",13039,640593
35,"{""Q0"":""im only clicking on the final boxes to see where the highest amounts are and then I see if I need to click on any additional boxes""}",36198,648643
35,"{""Q0"":""34"",""Q1"":""Male""}",18477,994473
36,"{""Q0"":""inspecting the nodes leads to higher result""}",20302,893731
36,"{""Q0"":""32"",""Q1"":""Female""}",16690,1181379
37,"{""Q0"":""I didn't realize at first that I needed to be clicking on the last options instead of the first""}",21369,371210
37,"{""Q0"":""33"",""Q1"":""female""}",6825,643379
38,"{""Q0"":""Reveal the last numbers where the spider will end up.""}",27853,379333
38,"{""Q0"":""27"",""Q1"":""Male""}",16087,643527
39,"{""Q0"":""I learned to not give a shit about the $1 reveal.""}",26005,253865
39,"{""Q0"":""20"",""Q1"":""fluid""}",9148,493121
40,"{""Q0"":""absolutly nothing.There is no rhyme or reason regarding the first move""}",36235,555719
40,"{""Q0"":""37"",""Q1"":""male""}",10477,870725
41,"{""Q0"":""Clicking on the nodes is the best way to maximize earnings""}",23540,307290
41,"{""Q0"":""28"",""Q1"":""""}",10450,643578
42,"{""Q0"":""I'm not clicking on as many nodes to see their value. In the beginning I clicked on all, now I'm clicking where I found the higher positive and negative values. ""}",38922,373802
42,"{""Q0"":""36"",""Q1"":""female""}",14434,638943
43,"{""Q0"":""Trying to find the end node with +48 and navigating to that""}",23275,273197
43,"{""Q0"":""41"",""Q1"":""female""}",7459,550029
44,"{""Q0"":""I learned to do the final nodes first, and go when I find a 48 dollar node""}",29329,294674
44,"{""Q0"":""22"",""Q1"":""male""}",6175,538122
45,"{""Q0"":""""}",4534,260903
47,"{""Q0"":""I am clicking the nodes faster to reveal what is underneath. Especially the ones that are at the ends. ""}",19973,384101
47,"{""Q0"":""33"",""Q1"":""Female""}",12885,637079
48,"{""Q0"":""I learned that I need to click on the highlighted nodes. I have been clicking more and getting better results. ""}",34698,732389
48,"{""Q0"":""48"",""Q1"":""female""}",16367,1076504
49,"{""Q0"":""I only went left and up. No need to use the inspector. ""}",31082,298188
49,"{""Q0"":""21"",""Q1"":""male""}",8366,528523
50,"{""Q0"":""Find the 48 dollar node. Go there without looking at the other nodes. Although at the end, I got really rich so I decided to look at all the nodes anyway.""}",48188,413846
50,"{""Q0"":""19"",""Q1"":""Male""}",7253,663101
51,"{""Q0"":""Making sure that I check the nodes.""}",8915,602719
51,"{""Q0"":""29"",""Q1"":""female""}",9379,917472
52,"{""Q0"":""It's a good idea to follow through on checking a node path before assuming that the first one means it will all be ok.""}",173921,407641
52,"{""Q0"":""34"",""Q1"":""female""}",7126,652786
53,"{""Q0"":""I learned once you find a node that is 48 no need to check any others. However, if you find any other value, it is worth it to check more out.""}",41472,379041
53,"{""Q0"":""45"",""Q1"":""male""}",14811,649830
54,"{""Q0"":""Only clicking on the notes at the end of the path until I find one labeled 48. Once I find the one labeled 48, following that path no matter what.  At the beginning I was clicking every node, and then clicking every node along the path to the one labeled 48.""}",59462,487937
54,"{""Q0"":""28"",""Q1"":""Female""}",10303,798135
55,"{""Q0"":""To check only the end node.""}",25996,409690
55,"{""Q0"":""52"",""Q1"":""Femle""}",13585,727718
56,"{""Q0"":""Nothing, I am not seeing a pattern.""}",14952,914129
56,"{""Q0"":""33"",""Q1"":""Female""}",8454,1509577
57,"{""Q0"":""I will go in just one direction without thinking""}",94963,400023
57,"{""Q0"":""33"",""Q1"":""male""}",18091,641063
58,"{""Q0"":""I figured out that once I find a +48, I go for it, and if I don't find it, I continue viewing nodes until I find one.""}",20372,438465
58,"{""Q0"":""23"",""Q1"":""male""}",5812,697895
59,"{""Q0"":""I learned that uncovering nodes are worth the cost of $1. This ensures my profits. I also learned to be careful when moving because I can be penalized with a delay.""}",62145,444743
59,"{""Q0"":""22"",""Q1"":""Male""}",10445,700613
60,"{""Q0"":""Making more strategic movements rather than going on gut instinct.""}",28287,576841
60,"{""Q0"":""27"",""Q1"":""female""}",11051,893420
61,"{""Q0"":""Doing the opposite of my instincts. I honestly could not figure this out. That said, I'm terrible at math, and even seeing numbers just makes me tense up and react in a panicked manner. ""}",51301,765737
61,"{""Q0"":""45"",""Q1"":""Female""}",10295,1075924
62,"{""Q0"":""Was trying to click on fewer nodes, probably would have taken a few more tries to get better""}",28670,577122
62,"{""Q0"":""64"",""Q1"":""female""}",9584,1024747
63,"{""Q0"":""Click on leaves until a 48 shows up, then immediately go to the 48. If no 48 shows up, go to a 24""}",35714,371061
63,"{""Q0"":""27"",""Q1"":""man""}",12572,704399
64,"{""Q0"":""I learned it is best to spend the dollar to find out what the amounts are""}",48908,318207
64,"{""Q0"":""25"",""Q1"":""Female""}",11663,612671
65,"{""Q0"":""clicking on each node before making a decision and seeing the best node to hit""}",102900,735851
65,"{""Q0"":""27"",""Q1"":""Male""}",22323,1077777
66,"{""Q0"":""as soon as i find the 48 i can go right there""}",24813,462391
66,"{""Q0"":""34"",""Q1"":""Male""}",10407,736470
67,"{""Q0"":""The last nodes contain the most amount of money. Clicks should be reserved for those. ""}",20835,276048
67,"{""Q0"":""30"",""Q1"":""Male""}",16951,554186
68,"{""Q0"":""pay to view""}",5140,160649
68,"{""Q0"":""36"",""Q1"":""male""}",5298,403100
69,"{""Q0"":""I know that there are certain nodes which I don;t need to check if I already know that one of the nodes contains the maximum value""}",30410,276297
69,"{""Q0"":""25"",""Q1"":""Male""}",8860,575289
70,"{""Q0"":""I have looked at the outer nodes to see their value.""}",25912,490653
70,"{""Q0"":""72"",""Q1"":""female""}",23105,793982
71,"{""Q0"":""Sampling each path, first.""}",18083,306159
71,"{""Q0"":""47"",""Q1"":""Female""}",13004,552256
73,"{""Q0"":""stopped paying to look at value""}",23007,834174
73,"{""Q0"":""60"",""Q1"":""male""}",10181,1075828
74,"{""Q0"":""I did not recognize a pattern, I did not do anything differently ""}",132265,387597
74,"{""Q0"":""47"",""Q1"":""female""}",13731,634644
75,"{""Q0"":""Didn't change much, revealed more before moving""}",10405,211418
75,"{""Q0"":""32"",""Q1"":""Male""}",5672,446828
76,"{""Q0"":""Once a positive $48 or $24 appear, I can narrow down to choosing that path. If two paths are similar, I will click on more than one node to see what path is best.""}",54623,300313
76,"{""Q0"":""26"",""Q1"":""male""}",11115,550321
77,"{""Q0"":""Checking for the +48 nodes""}",26500,255329
77,"{""Q0"":""27"",""Q1"":""Male""}",11657,513090
78,"{""Q0"":""I learned that the webs at the end have the largest amounts of money, so it's best to only inspect the ends of the web and then choose a course that takes you there.""}",35683,330238
78,"{""Q0"":""30"",""Q1"":""male""}",9971,560694
79,"{""Q0"":""i had learnt how to guess different""}",19026,821823
79,"{""Q0"":""36"",""Q1"":""female""}",9202,1050092
80,"{""Q0"":""I focused 100% on getting that 48$ payoff\n""}",84842,380162
80,"{""Q0"":""24"",""Q1"":""male""}",5419,627460
81,"{""Q0"":""Once I find an end node that has is plus 48 I move to it, rather than revealing all of the end nodes.""}",50371,624295
81,"{""Q0"":""31"",""Q1"":""Female""}",12733,882427
82,"{""Q0"":""even if the first node causes a loss the end node reward may over come it""}",25476,574305
82,"{""Q0"":""41"",""Q1"":""Male""}",7642,873594
83,"{""Q0"":""On the first try I looked at all the values. Then I decided to only check the very end values since it seemed like the largest and smallest values only appeared at the very ends.""}",57096,251213
83,"{""Q0"":""25"",""Q1"":""Female""}",7520,496468
84,"{""Q0"":""finding the highest positive amount from three clicks lessens the risk, since I pay 3 dollars and always find a circle for more.""}",38933,315796
84,"{""Q0"":""52"",""Q1"":""female""}",24695,628213
85,"{""Q0"":""Instead of doing the inner ones first, I looked for the highest amount on the end of the trails. After taking some risks and not examining the ones in between, I need to click the routes to see which one is the most valuable. ""}",53674,334297
85,"{""Q0"":""26"",""Q1"":""Male""}",9296,595568
86,"{""Q0"":""I'm doing a better job keeping an eye out for the bigger values. I've also learned the strategy of this game.""}",40523,389332
86,"{""Q0"":""30"",""Q1"":""Male""}",7774,644186
87,"{""Q0"":""I learned the proper way to use the node inspector""}",32223,398549
87,"{""Q0"":""30"",""Q1"":""Male""}",10556,736655
88,"{""Q0"":""I began to spend $1 to see noods to win more cash""}",41207,541271
88,"{""Q0"":""31"",""Q1"":""Female""}",16742,867584
89,"{""Q0"":""I won't use the node inspector, I feel like I'm better without it""}",17766,197019
90,"{""Q0"":""Looking at the end space to see if it has a winning number.""}",22557,676022
90,"{""Q0"":""51"",""Q1"":""Male""}",10064,991402
91,"{""Q0"":""I think it's better to spend your reveal dollars on the end nodes because they're worth more than the inner nodes.""}",31643,356710
91,"{""Q0"":""35"",""Q1"":""Female""}",13668,646762
92,"{""Q0"":""Using the node inspector takes me to the high score""}",29375,313797
92,"{""Q0"":""63"",""Q1"":""Male""}",14216,628835
93,"{""Q0"":""better open all the nodes first""}",37529,495269
93,"{""Q0"":""64"",""Q1"":""female""}",33070,1182688
95,"{""Q0"":""I'm not really sure what to do. I use the checker to guide me, but what seems best based on payment, doesn't always work. ""}",39190,563943
96,"{""Q0"":""If I find 48, I head straight to it. Otherwise I always head to the highest endpoint.""}",75337,427372
96,"{""Q0"":""24"",""Q1"":""male""}",11850,700896
98,"{""Q0"":""clicking on the nodes before moving""}",25043,1154702
98,"{""Q0"":""32"",""Q1"":""female""}",8076,1388225
99,"{""Q0"":""Clicking on every node instead of just the ones immediately surrounding me then guessing""}",17825,383368
99,"{""Q0"":""23"",""Q1"":""Male""}",9386,716945
100,"{""Q0"":""I am using the node inspector more.""}",24519,367571
100,"{""Q0"":""43"",""Q1"":""male""}",14411,655846
101,"{""Q0"":""I learned which nodes should be inspected before moving the spider. At first, I was only selecting one node but I learned to first choose the corner nodes. If the corner nodes did not reveal the $48, I then selected the inner nodes. I did not move the spider until I found the node with the $48. Despite the $1 spent on revealing the nodes, this process maximizes my score in each round. ""}",108801,358223
101,"{""Q0"":""24"",""Q1"":""Female""}",14212,616171
102,"{""Q0"":""Once I find the $48 I can't probe again""}",22436,676772
102,"{""Q0"":""37"",""Q1"":""male""}",14867,1043454
103,"{""Q0"":""Started inspecting more nodes""}",16672,215851
103,"{""Q0"":""26"",""Q1"":""MALE""}",11343,504915
105,"{""Q0"":""At the beginning I would open up more nodes to see where the money is  at the end I would find where the most money is with less opening ups""}",77017,452580
105,"{""Q0"":""49"",""Q1"":""Female""}",17100,760943
106,"{""Q0"":""I am inspecting more nodes""}",20723,379641
106,"{""Q0"":""51"",""Q1"":""Female""}",12199,637153
107,"{""Q0"":""n/a""}",2614,2091993
108,"{""Q0"":""I learned that going for the edges and finding the best last space is the best.""}",56229,313504
108,"{""Q0"":""28"",""Q1"":""Male""}",6221,570247
109,"{""Q0"":""The biggest rewards and risks are at the edge of the web. I will be sure to know that I am going to end on a good place.""}",139035,423812
109,"{""Q0"":""31"",""Q1"":""Male""}",13673,669738
110,"{""Q0"":""clicking on outer circles ""}",20706,372628
110,"{""Q0"":""54"",""Q1"":""male""}",14263,655358
111,"{""Q0"":""It pays to inspect the right nodes. You should find a 48 node.""}",38036,389022
111,"{""Q0"":""33"",""Q1"":""Male""}",26330,680412
112,"{""Q0"":""I am using the Inspector once or twice to get an idea of where I want to end up based on the gain or loss of the amount revealed.""}",66622,415450
112,"{""Q0"":""44"",""Q1"":""Female""}",23902,752051
113,"{""Q0"":""i learned the arrows don't work as well.""}",17902,527879
113,"{""Q0"":""36"",""Q1"":""male""}",6405,759839
114,"{""Q0"":""I would click the end nodes for sure so that I knew where the best end result would be.""}",22225,245293
114,"{""Q0"":""28"",""Q1"":""Male""}",5972,466939
115,"{""Q0"":""I am no longer looking at all invervening nodes, just looking at the terminal nodes for max value""}",30176,354832
115,"{""Q0"":""55"",""Q1"":""f""}",9206,601672
116,"{""Q0"":""I did&#180;t learn anything. I was always confused""}",31525,819659
116,"{""Q0"":""30"",""Q1"":""female""}",11045,1068721
117,"{""Q0"":""I made sure to start with checking the end nodes, which had higher values. I also stopped checking nodes if I found a 48, since there seemed to only be, at most, one of those in each web, so I would just go there.""}",46901,251770
117,"{""Q0"":""21"",""Q1"":""Female""}",6725,478697
118,"{""Q0"":""I'm using my nodes to check first. ""}",15272,185863
118,"{""Q0"":""35"",""Q1"":""Male""}",7688,446415
119,"{""Q0"":""Inspecting end nodes to look for the $48""}",16275,276321
119,"{""Q0"":""49"",""Q1"":""male""}",9931,555971
120,"{""Q0"":""I have learnt nothing""}",46683,1177915
120,"{""Q0"":""23"",""Q1"":""Female""}",11408,1402475
121,"{""Q0"":""I figured out that it was better to click the nodes at the end of each path rather than the ones closest to the spider in order to determine the best path with the fewest clicks.""}",38459,353707
121,"{""Q0"":""36"",""Q1"":""female""}",15112,631707
122,"{""Q0"":""Im clicking on some of the spaces to see if I'm going to hit a loss, rather than a small loss of 1.00 for moving forward.""}",17874,296069
122,"{""Q0"":""42"",""Q1"":""Female""}",12875,585647
123,"{""Q0"":""It's best to spend a few dollars on finding out which nodes on the outskirts of the grid pay the highest and which path will cost me less points by discovering them as well. I'm using a strategy rather than just guessing and not spending any points.""}",73004,1098732
123,"{""Q0"":""25"",""Q1"":""female""}",9391,1557612
124,"{""Q0"":""Clicking on more of the nodes before deciding where to go.""}",28025,628521
124,"{""Q0"":""43"",""Q1"":""Male""}",13743,1019089
125,"{""Q0"":""one I find the $48 node I don't look at others, just go there""}",25284,379692
125,"{""Q0"":""33"",""Q1"":""Male""}",9662,645098
126,"{""Q0"":""Trying to guess a viable routine is hard.""}",48282,340835
126,"{""Q0"":""32"",""Q1"":""female""}",29718,926845
127,"{""Q0"":""I stopped searching after I found a 48""}",9293,302850
127,"{""Q0"":""32"",""Q1"":""Female""}",4641,614695
129,"{""Q0"":""""}",3935,593294
129,"{""Q0"":""26"",""Q1"":""female""}",19423,838406
130,"{""Q0"":""Clicking the nodes""}",11184,355642
130,"{""Q0"":""31"",""Q1"":""female""}",6851,592273
131,"{""Q0"":""check endpoints first""}",14195,291263
131,"{""Q0"":""42"",""Q1"":""male""}",7319,525056
133,"{""Q0"":""To go to the final bubbles first and see which one offers the best""}",12535,355240
133,"{""Q0"":""26"",""Q1"":""female""}",7769,623389
134,"{""Q0"":""I am using the node finder more""}",26450,396314
134,"{""Q0"":""45"",""Q1"":""Male""}",9452,644720
135,"{""Q0"":""I would get ahead of myself and move and then realize I should have clicked on a highlighted node, then I would have to wait.""}",91165,608301
135,"{""Q0"":""42"",""Q1"":""female""}",17787,919668
136,"{""Q0"":""I started looking at the end nodes to find the 48.""}",26024,732005
136,"{""Q0"":""44"",""Q1"":""Female""}",11497,1110298
137,"{""Q0"":""Looking for the +48 before moving.""}",17558,366570
137,"{""Q0"":""35"",""Q1"":""male""}",10990,627853
139,"{""Q0"":""I tried to go for the nodes that were green, and stayed away from the nodes that were red.""}",25679,538035
139,"{""Q0"":""18"",""Q1"":""Female""}",7895,816045
140,"{""Q0"":""Clicking on the outside circles to find the biggest amount of cash ""}",13709,196541
140,"{""Q0"":""23"",""Q1"":""female""}",6368,444421
141,"{""Q0"":""I am clicking on the last node in a segment to figure out the payout.""}",26323,508775
141,"{""Q0"":""28"",""Q1"":""female""}",23405,834551
142,"{""Q0"":""I learned that I didn't need to click the whole path but rather just search the corners for the plus 48.""}",34623,356216
142,"{""Q0"":""34"",""Q1"":""Female""}",13797,650944
144,"{""Q0"":""I'm clicking until i see the $48, and i go straight to that. I'm also seeing the middle nodes incase the left and right ones all are similar""}",37563,237343
144,"{""Q0"":""20"",""Q1"":""male""}",8666,474654
145,"{""Q0"":""Stop when I find 48""}",42848,429236
145,"{""Q0"":""55"",""Q1"":""Male""}",8493,669371
146,"{""Q0"":""Checking end nodes for bonus and then checking the better path if multiple high reward end nodes exist seems like a better option.""}",55248,338519
146,"{""Q0"":""27"",""Q1"":""man""}",12515,577451
147,"{""Q0"":""I learned to look at jus the end ones and go to wherever the 48 green is!""}",21470,279052
147,"{""Q0"":""29"",""Q1"":""Male""}",12321,537172
148,"{""Q0"":""I'm only clicking the outer buttons and only clicking until I find the 48.""}",25566,286921
148,"{""Q0"":""23"",""Q1"":""Female""}",9839,598034
149,"{""Q0"":""I have learned and improve my knowledge well in the game.""}",43770,1408129
149,"{""Q0"":""29"",""Q1"":""female""}",11175,1833299
150,"{""Q0"":""""}",5850,986749
151,"{""Q0"":""It's better to click all the nodes because you make more money than what you lose by clicking them. The beginning I didn't click all of them.""}",90407,577255
151,"{""Q0"":""40"",""Q1"":""female""}",30907,1126940
152,"{""Q0"":""I'm clicking on the nodes that are at a dead end""}",14212,251250
152,"{""Q0"":""24"",""Q1"":""male""}",5964,500180
153,"{""Q0"":""seeing amounts at the end of the route first""}",27229,411363
153,"{""Q0"":""38"",""Q1"":""male""}",12810,744039
154,"{""Q0"":""click on end nodes instead of beginning""}",9567,204740
154,"{""Q0"":""34"",""Q1"":""Male""}",9927,429046
155,"{""Q0"":""Actually use my clicks. I wasn't using them at first. ""}",16428,321848
155,"{""Q0"":""34"",""Q1"":""Male""}",245689,788522
156,"{""Q0"":""clicked on more nodes""}",17744,426002
156,"{""Q0"":""49"",""Q1"":""male""}",9282,658632
157,"{""Q0"":""Use $1 to find the money at the beginning of the round. It's worth the investment. ""}",22165,448722
157,"{""Q0"":""30"",""Q1"":""male""}",8198,678038
158,"{""Q0"":""I was following my own path""}",54412,524295
158,"{""Q0"":""28"",""Q1"":""Male""}",15045,804653
159,"{""Q0"":""I started with the outer sides and looked for the $48.  I realized sometimes there was more than one.  I took the helper ones as a sunk cost and just assumed it was needed.""}",36574,271217
159,"{""Q0"":""36"",""Q1"":""Male""}",7472,550128
160,"{""Q0"":""I am exploring the nodes more before i start to move the spider. i am also weighing out risk vs reward on the pathway to get to the highest paying node.""}",51795,519077
160,"{""Q0"":""24"",""Q1"":""male""}",11502,794061
161,"{""Q0"":""I should have used the node inspector more. ""}",18831,555684
161,"{""Q0"":""39"",""Q1"":""male""}",10627,840255
162,"{""Q0"":""Im clicking the last node of the web. They always end with the highest number""}",31558,472769
162,"{""Q0"":""23"",""Q1"":""Male""}",11199,753546
163,"{""Q0"":""I haven't learned anything! I thought the point was to move over the node with the highest value but that wasn't correct. I did not understand this game.""}",55193,898962
163,"{""Q0"":""29"",""Q1"":""Female""}",10623,1136689
164,"{""Q0"":""Yes I am actually checking. the -48 is huge""}",13672,353629
164,"{""Q0"":""30"",""Q1"":""male""}",7049,599898
165,"{""Q0"":""nothing""}",14962,402915
165,"{""Q0"":""62"",""Q1"":""female""}",10497,771080
166,"{""Q0"":""Using the directions for one. After finding the $48, you move. ""}",33783,563595
166,"{""Q0"":""35"",""Q1"":""Female""}",12909,865701
167,"{""Q0"":""pick terminal circles until you find the +48, then just go there (don't keep looking)""}",39208,344624
167,"{""Q0"":""41"",""Q1"":""male""}",9238,616751
168,"{""Q0"":""I'm not sure. But after inspecting a node I tried to move but received a warning and had to wait a few seconds.""}",65312,845859
168,"{""Q0"":""28"",""Q1"":""male""}",12353,1140928
169,"{""Q0"":""That the end of the nodes usually make you lost money, but you can't advance without going to them! Feels like a scam.""}",26162,330355
169,"{""Q0"":""40"",""Q1"":""female""}",10276,572261
170,"{""Q0"":""click on the farthest nodes, which are the highest paying. find one that has +$48 which is the best payoff. Go to that node.""}",56808,436659
170,"{""Q0"":""57"",""Q1"":""male""}",14103,723086
171,"{""Q0"":""To change up my sequence when navigating. It can go either way with no predicting involved.""}",53152,234743
171,"{""Q0"":""46"",""Q1"":""female""}",11728,482073
172,"{""Q0"":""It looks like the largest (or smallest) amounts are at the end points. I don't want to waste all my money for looking at all the nodes, so as soon as I find the positive 48, I head for that!""}",51415,252673
172,"{""Q0"":""62"",""Q1"":""F""}",19058,589532
173,"{""Q0"":""I am working my way from the outside in to find a good path instead of random clicking.""}",20678,271670
173,"{""Q0"":""24"",""Q1"":""Female""}",7715,626683
174,"{""Q0"":""checking all the ending nodes until I find the highest one, either a $48 if it shows, or a $24 if thats the best. ""}",42177,361444
174,"{""Q0"":""33"",""Q1"":""male""}",8745,627492
175,"{""Q0"":""Clicking on the nodes to find the $48. If there isn't one, then finding a $24 and then clicking the previous node to figure out which lane to take.""}",68534,398642
175,"{""Q0"":""30"",""Q1"":""Male""}",8465,640527
176,"{""Q0"":""No strategy, I have learned that I am making terrible decisions any way I go. ""}",45706,1154420
176,"{""Q0"":""28"",""Q1"":""Female""}",12807,1417853
177,"{""Q0"":""choose until you find the highest value""}",18576,264566
177,"{""Q0"":""22"",""Q1"":""male""}",7863,523205
178,"{""Q0"":""Ive learned to reveal the last node to find the value.""}",24312,325854
178,"{""Q0"":""32"",""Q1"":""Male""}",12661,614043
179,"{""Q0"":""It's just a trial and error. If I'm lucky, I get more points. Otherwise I lose. ""}",48273,608067
179,"{""Q0"":""46"",""Q1"":""Male""}",15701,856939
